Ecosystem D,Ecosystem F,Ecosystem I,Scientific name,Typo_CH,Deutsch,Français,Italiano,Prio,RL,Resp,MeasNeed,NaiS
Tannen-Buchenwälder,Hêtraies à sapin,Fagion silvaticae,20 Adenostylo alliariae-Abieti-Fagetum ,6.2.5,Hochstauden-Tannen-Buchenwald,Hêtraie à sapin avec ,Abieti-faggete a megaforbie,0,LC,0,0,"20,20E"
Tannen-Buchenwälder,Hêtraies à sapin,Fagion silvaticae,20*Streptopo-Abieti-Fagetum/Luzulo-Abieti-Fag. petasitetosum ,6.2.5,Knotenfuss-Buchenwald,"Hêtraie avec érable, sapin et hautes herbes",Abieti-faggeta a erba lucciola con Petasites,1,EN,2,0,20*
Tannen-Buchenwälder,Hêtraies à sapin,Fagion silvaticae,21 Aceri-Fagetum ,6.2.5,Ahorn-Buchenwald,Hêtraie à érable,Faggeta ad acero di monte,4,NT,2,1,21
Tannen-Buchenwälder,Hêtraies à sapin,Fagion silvaticae,21* Alno viridi-Sorbetum aucupariae ,6.2.5,Grünerlen-Vogelbeerwald,Forêt de sorbiers à aune vert,Sorbeto a ontano verde,3,EN,0,1,21*
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,21** Laburno-Aceretum ,6.2.5,Goldregen-Ahornwald,Erablaie à aubours des Alpes,Acereta a maggiociondolo,1,CR,1,1,-
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,22 Phyllitido-Aceretum ,6.3.1,Hirschzungen-Ahornwald,Erablaie à langue-de-cerf typique,Acereta a scolopendria,4,NT,2,0,22
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,22* Scillo-Fraxinetum ,6.3.1,Blaustern-Eschenwald,Tillaie-frênaie colluviale,Tiglieto a scilla,1,CR,1,2,-
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,22** Arunco-Aceretum ,6.3.1,Geissbart-Ahornwald,Erablaie à reine-des-bois,Acereta a spirea,3,VU,1,1,-
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,22** Corydalido-Aceretum ,6.3.1,Lerchensporn-Ahornwald,Erablaie à corydale,Acereta a Corydalis,2,EN,1,1,22C
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,23 Sorbo-Aceretum ,6.3.1,Mehlbeer-Ahornwald,Erablaie à alisier,Acereta a sorbo montano,2,VU,2,0,23
Ahornwälder,Erablaies,Tilio-Acerion pseudoplatani,23* Sorbetum ariae ,6.3.1,Mehlbeerwald,Forêt d’alisiers à noisetier,Sorbeto montano rupicolo,2,VU,2,1,23*
