"Species","Family","N5","Last year","Map"
"Helicoverpa armigera  (Hübner, 1808)","Noctuidae","585215","2022","Show (ancien)"
"Heliothis peltigera  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Hemaris fuciformis  (Linnaeus, 1758)","Sphingidae","585215","2023","Show (ancien)"
"Hepialus humuli  (Linnaeus, 1758)","Hepialidae","585215","1980","Show (ancien)"
"Herminia grisealis  (Denis & Schiffermüller, 1775)","Erebidae","585215","1979","Show (ancien)"
"Herminia tarsicrinalis  (Knoch, 1782)","Erebidae","585215","2022","Show (ancien)"
"Hoplodrina ambigua  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Hoplodrina octogenaria  (Goeze, 1781)","Noctuidae","585215","1979","Show (ancien)"
"Hoplodrina respersa  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Hyles livornica  (Esper, 1780)","Sphingidae","585215","2022","Show (ancien)"
"Hyloicus pinastri  (Linnaeus, 1758)","Sphingidae","585215","2022","Show (ancien)"
"Hypena proboscidalis  (Linnaeus, 1758)","Erebidae","585215","2022","Show (ancien)"
"Hypena rostralis  (Linnaeus, 1758)","Erebidae","585215","2022","Show (ancien)"
"Ipimorpha retusa  (Linnaeus, 1761)","Noctuidae","585215","1912","Show (ancien)"
"Ipimorpha subtusa  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1913","Show (ancien)"
"Korscheltellus lupulina  (Linnaeus, 1758)","Hepialidae","585215","2022","Show (ancien)"
"Lacanobia oleracea  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Lacanobia suasa  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Lacanobia thalassina  (Hufnagel, 1766)","Noctuidae","585215","1979","Show (ancien)"
"Lacanobia w-latinum  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Lasiocampa quercus  (Linnaeus, 1758)","Lasiocampidae","585215","2022","Show (ancien)"
"Laspeyria flexula  (Denis & Schiffermüller, 1775)","Erebidae","585215","2022","Show (ancien)"
"Lithophane ornitopus  (Hufnagel, 1766)","Noctuidae","585215","2023","Show (ancien)"
"Lithophane semibrunnea  (Haworth, 1809)","Noctuidae","585215","1979","Show (ancien)"
"Lithophane socia  (Hufnagel, 1766)","Noctuidae","585215","2023","Show (ancien)"
"Luperina testacea  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1981","Show (ancien)"
"Macdunnoughia confusa  (Stephens, 1850)","Noctuidae","585215","2022","Show (ancien)"
"Macroglossum stellatarum  (Linnaeus, 1758)","Sphingidae","585215","2022","Show (ancien)"
"Mamestra brassicae  (Linnaeus, 1758)","Noctuidae","585215","1982","Show (ancien)"
"Melanchra persicariae  (Linnaeus, 1761)","Noctuidae","585215","2022","Show (ancien)"
"Melanchra pisi  (Linnaeus, 1758)","Noctuidae","585215","1911","Show (ancien)"
"Mesapamea didyma  (Esper, 1788)","Noctuidae","585215","1912","Show (ancien)"
"Mesapamea secalis  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Mesoligia furuncula  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Mimas tiliae  (Linnaeus, 1758)","Sphingidae","585215","2022","Show (ancien)"
"Moma alpium  (Osbeck, 1778)","Noctuidae","585215","2022","Show (ancien)"
"Mormo maura  (Linnaeus, 1768)","Noctuidae","585215","1912","Show (ancien)"
"Mythimna albipuncta  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Mythimna conigera  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1979","Show (ancien)"
"Mythimna ferrago  (Fabricius, 1787)","Noctuidae","585215","1981","Show (ancien)"
"Mythimna impura  (Hübner, 1808)","Noctuidae","585215","1980","Show (ancien)"
"Mythimna pallens  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Mythimna unipuncta  (Haworth, 1809)","Noctuidae","585215","1913","Show (ancien)"
"Mythimna vitellina  (Hübner, 1808)","Noctuidae","585215","2022","Show (ancien)"
"Narycia duplicella  (Goeze, 1783)","Psychidae","585215","2002","Show (ancien)"
"Nematopogon adansoniella  (Villers, 1789)","Adelidae","585215","2019","Show (ancien)"
"Nematopogon robertella  (Clerck, 1759)","Adelidae","585215","1973","Show (ancien)"
"Nematopogon swammerdamella  (Linnaeus, 1758)","Adelidae","585215","1973","Show (ancien)"
"Nemophora degeerella s.l.  (Linnaeus, 1758)","Adelidae","585215","1973","Show (ancien)"
"Nemophora ochsenheimerella  (Hübner, 1813)","Adelidae","585215","1973","Show (ancien)"
"Noctua comes  Hübner, 1813","Noctuidae","585215","2022","Show (ancien)"
"Noctua fimbriata  (Schreber, 1759)","Noctuidae","585215","2022","Show (ancien)"
"Noctua janthina  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Noctua pronuba  Linnaeus, 1758","Noctuidae","585215","2022","Show (ancien)"
"Notodonta dromedarius  (Linnaeus, 1758)","Notodontidae","585215","2022","Show (ancien)"
"Notodonta ziczac  (Linnaeus, 1758)","Notodontidae","585215","2022","Show (ancien)"
"Nycteola revayana  (Scopoli, 1772)","Nolidae","585215","2002","Show (ancien)"
"Ochropacha duplaris  (Linnaeus, 1761)","Drepanidae","585215","2022","Show (ancien)"
"Ochropleura plecta  (Linnaeus, 1761)","Noctuidae","585215","2022","Show (ancien)"
"Oligia latruncula  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Oligia strigilis  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Orgyia antiqua  (Linnaeus, 1758)","Erebidae, Lymantriinae","585215","2022","Show (ancien)"
"Orthosia cerasi  (Fabricius, 1775)","Noctuidae","585215","2023","Show (ancien)"
"Orthosia cruda  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Orthosia gothica  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Orthosia incerta  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Orthosia munda  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Panolis flammea  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2023","Show (ancien)"
"Paracolax tristalis  (Fabricius, 1794)","Erebidae","585215","1987","Show (ancien)"
"Paradrina clavipalpis  (Scopoli, 1763)","Noctuidae","585215","1910","Show (ancien)"
"Paranthrene tabaniformis  (Rottemburg, 1775)","Sesiidae","585215","1997","Show (ancien)"
"Parastichtis ypsillon  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Pennisetia hylaeiformis  (Laspeyres, 1801)","Sesiidae","585215","1996","Show (ancien)"
"Peridea anceps  (Goeze, 1781)","Notodontidae","585215","1979","Show (ancien)"
"Phalera bucephala  (Linnaeus, 1758)","Notodontidae","585215","1913","Show (ancien)"
"Phlogophora meticulosa  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Phragmatobia fuliginosa  (Linnaeus, 1758)","Erebidae, Arctiinae","585215","2022","Show (ancien)"
"Polia nebulosa  (Hufnagel, 1766)","Noctuidae","585215","1913","Show (ancien)"
"Polyphaenis sericata  (Esper, 1787)","Noctuidae","585215","2022","Show (ancien)"
"Protodeltote pygarga  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Pseudoips prasinana  (Linnaeus, 1758)","Nolidae","585215","2022","Show (ancien)"
"Psyche casta  (Pallas, 1767)","Psychidae","585215","1977","Show (ancien)"
"Pterostoma palpina  (Clerck, 1759)","Notodontidae","585215","2022","Show (ancien)"
"Ptilodon capucina  (Linnaeus, 1758)","Notodontidae","585215","1979","Show (ancien)"
"Ptilodon cucullina  (Denis & Schiffermüller, 1775)","Notodontidae","585215","2022","Show (ancien)"
"Pyrrhia umbra  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Rivula sericealis  (Scopoli, 1763)","Erebidae","585215","2022","Show (ancien)"
"Rusina ferruginea  (Esper, 1785)","Noctuidae","585215","1979","Show (ancien)"
