kingdom,phylum,class,order,family,genus,species,scientificName,verbatimScientificName,publishingOrgKey,decimalLatitude,decimalLongitude,eventDate
Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Auriscalpium,Auriscalpium vulgare,Auriscalpium vulgare Gray,Auriscalpium vulgare Gray,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15335,7.27381,2015-03-03T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Melanoleuca,Melanoleuca tristis,Melanoleuca tristis M.M.Moser,Melanoleuca tristis M.M. Moser,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2014-11-25T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,Rigidoporus,Rigidoporus sanguinolentus,Physisporinus sanguinolentus (Alb. & Schwein.) Pilát,Physisporinus sanguinolentus (Alb. et Schwein.: Fr.) Pilat,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2015-08-08T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula violeipes,Russula violeipes Quél.,Russula violeipes Quel.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2015-08-23T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Rickenella,Rickenella fibula,Rickenella fibula (Bull.) Raithelh.,Rickenella fibula (Bull.: Fr.) Raithelh.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2015-10-04T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota,Lepiota fuscovinacea,Lepiota fuscovinacea F.H.Møller & J.E.Lange,Lepiota fuscovinacea J.E. Lange et F.H. Moeller,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2015-10-31T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius blennius,Lactarius blennius (Fr.) Fr.,Lactarius blennius (Fr.: Fr.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2015-10-31T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Laxitextum,Laxitextum bicolor,Laxitextum bicolor (Pers.) Lentz,Laxitextum bicolor (Pers.:Fr.) Lentz,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2015-10-31T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Strobilurus,Strobilurus esculentus,Strobilurus esculentus (Wulfen) Singer,Strobilurus esculentus (Wulf.:Fr.) Singer,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2015-10-31T00:00:00
Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Kretzschmaria,Kretzschmaria deusta,Ustulina deusta (Hoffm.) Lind,Ustulina deusta (Hoffm.) Lind,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15335,7.27381,2010-04-02T00:00:00
Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella asperulata,Mycosphaerella asperulata L.Holm & K.Holm,Mycosphaerella asperulata L.Holm et K.Holm,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15324,7.20788,2014-05-03T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,Polyporus tuberaster,Polyporus tuberaster (Jacq. ex Pers.) Fr.,Polyporus tuberaster (Pers.:Fr.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2010-05-08T00:00:00
Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Diatrype,Diatrype stigma,Diatrype stigma (Hoffm.) Fr.,Diatrype stigma (Hoffm.: Fr.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2010-05-08T00:00:00
Fungi,Ascomycota,Leotiomycetes,Helotiales,Lachnaceae,Lachnum,Lachnum virgineum,Lachnum virgineum (Batsch) P.Karst.,Lachnum virgineum (Batsch:Fr.) Karst.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2010-05-08T00:00:00
Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Tryblidiopsis,Tryblidiopsis pinastri,Tryblidiopsis pinastri (Pers.) P.Karst.,Tryblidiopsis pinastri (Pers.) Karst.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2016-02-28T00:00:00
Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Hypoderma,Hypoderma hederae,Hypoderma hederae (T.Nees ex Mart.) De Not.,Hypoderma hederae (Mart.) De Not.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2016-02-07T00:00:00
Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Verpa,Verpa bohemica,Verpa bohemica (Krombh.) J.Schröt.,Verpa bohemica (Krombholz) Schroeter,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2016-04-13T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella spadiceogrisea,Psathyrella spadiceogrisea (Schaeff.) Maire,Psathyrella spadiceogrisea (Fr.) Maire,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2016-04-14T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Sarcodon,Sarcodon joeides,Sarcodon joeides (Pass.) Bataille,Sarcodon joeides (Pass.) Bat.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-10-21T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe acutoconica,Hygrocybe persistens (Britzelm.) Singer,Hygrocybe persistens (Britzelm.) Singer,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15324,7.20788,2016-06-10T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Gelatoporiaceae,Cinereomyces,Cinereomyces lindbladii,Cinereomyces lindbladii (Berk.) Jülich,Cinereomyces lindbladii (Berk.) Juelich,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15324,7.20788,2016-05-26T00:00:00
Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,Helvella lacunosa,Helvella lacunosa Afzel.,Helvella lacunosa Afz.:Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2011-11-16T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum decastes,Lyophyllum fumosum (Pers.) P.D.Orton,Lyophyllum fumosum (Pers.: Fr.) Kuehner et Romagn.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-10-15T00:00:00
